Data,H,|I,Out_Acc,In_Acc,Sol_Time,Model,Warm_Start,Warm_Start_Time,Time_Limit,Rand_State,MIP_Gap,Obj_Val,Obj_Bound,VIS_Calls,VIS_Cuts,VIS_Time,HP_Time,FP_Time,FP_Num_CB,FP_Num_Cuts,Eps,Branch_Type
kr_vs_kp,3,2397,0.533166458,0.518564873,600.0250831,SOCT-Benders,None,0,600,42,0.928399035,2397,1243,1195,1734,568.1698754,0,,,,,
kr_vs_kp,2,2397,0.589486859,0.584897789,602.761673,OCT-Multivariate,FALSE,0,600,138,1,0,0.413850647,,,,,,,,,
kr_vs_kp,3,2397,0.498122653,0.530246141,600.1302109,SOCT-Benders,None,0,600,0,0.885916601,2397,1271,878,1870,575.5117202,0,,,,,
kr_vs_kp,2,2397,0.714643304,0.736754276,600.010519,OCT-Multivariate,FALSE,0,600,15,1,0,0.260325407,,,,,,,,,
kr_vs_kp,4,2397,0.523153942,0.521902378,600.7183628,SOCT-Benders,None,0,600,138,0.916067146,2397,1251,652,1574,561.4999485,0,,,,,
kr_vs_kp,2,2397,0.607008761,0.615352524,600.037641,OCT-Multivariate,FALSE,0,600,89,1,0,0.385481852,,,,,,,,,
kr_vs_kp,4,2397,0.508135169,0.526908636,600.02633,SOCT-Benders,None,0,600,15,0.897862233,2397,1263,642,1038,565.744185,0,,,,,
kr_vs_kp,2,2397,0.565707134,0.55527743,606.977107,OCT-Multivariate,FALSE,0,600,42,1,0,0.449728828,,,,,,,,,
kr_vs_kp,4,2397,0.518147685,0.523571131,600.48772,SOCT-Benders,None,0,600,89,0.909960159,2397,1255,970,1258,549.5083797,0,,,,,
kr_vs_kp,2,2397,0.574468085,0.590738423,614.062372,OCT-Multivariate,FALSE,0,600,0,1,0,0.409261577,,,,,,,,,
kr_vs_kp,4,2397,0.533166458,0.518564873,600.8808739,SOCT-Benders,None,0,600,42,0.928399035,2397,1243,588,1716,560.0305059,0,,,,,
kr_vs_kp,3,2397,0.5281602,0.5281602,600.0365832,OCT-Multivariate,FALSE,0,600,138,1,0,0.465581977,,,,,,,,,
kr_vs_kp,4,2397,0.498122653,0.530246141,600.3571119,SOCT-Benders,None,0,600,0,0.885916601,2397,1271,649,1612,562.2476945,0,,,,,
kr_vs_kp,3,2397,0.554443054,0.549019608,600.031167,OCT-Multivariate,FALSE,0,600,15,1,0,0.46266166,,,,,,,,,
kr_vs_kp,5,2397,0.523153942,0.521902378,600.782743,SOCT-Benders,None,0,600,138,0.916067146,2397,1251,435,1499,535.5637875,0,,,,,
kr_vs_kp,3,2397,0.546933667,0.553608678,600.051821,OCT-Multivariate,FALSE,0,600,89,1,0,0.451814768,,,,,,,,,
kr_vs_kp,5,2397,0.508135169,0.526908636,600.5042689,SOCT-Benders,None,0,600,15,0.897862233,2397,1263,441,1734,527.6267135,0,,,,,
kr_vs_kp,3,2397,0.593241552,0.589904047,600.0280919,OCT-Multivariate,FALSE,0,600,42,1,0,0.403420943,,,,,,,,,
kr_vs_kp,5,2397,0.518147685,0.523571131,601.0128808,SOCT-Benders,None,0,600,89,0.909960159,2397,1255,456,1817,528.2661488,0,,,,,
kr_vs_kp,3,2397,0.50563204,0.531080517,600.0214231,OCT-Multivariate,FALSE,0,600,0,1,0,0.468919483,,,,,,,,,
kr_vs_kp,5,2397,0.533166458,0.518564873,600.094826,SOCT-Benders,None,0,600,42,0.928399035,2397,1243,423,1500,530.7149708,0,,,,,
kr_vs_kp,4,2397,0.540675845,0.539841469,600.152138,OCT-Multivariate,FALSE,0,600,138,1,0,0.445974134,,,,,,,,,
kr_vs_kp,5,2397,0.498122653,0.530246141,600.88304,SOCT-Benders,None,0,600,0,0.885916601,2397,1271,487,1788,522.223088,0,,,,,
kr_vs_kp,4,2397,0.524405507,0.531914894,600.0525849,OCT-Multivariate,FALSE,0,600,15,1,0,0.468085106,,,,,,,,,
kr_vs_kp,4,2397,0.535669587,0.527743012,600.115247,OCT-Multivariate,FALSE,0,600,89,1,0,0.473508552,,,,,,,,,
kr_vs_kp,4,2397,0.53942428,0.546099291,600.1517169,OCT-Multivariate,FALSE,0,600,42,1,0,0.460158531,,,,,,,,,
kr_vs_kp,4,2397,0.504380476,0.53733834,600.1264431,OCT-Multivariate,FALSE,0,600,0,1,0,0.460992908,,,,,,,,,
kr_vs_kp,5,2397,0.523153942,0.522319566,600.7933099,OCT-Multivariate,FALSE,0,600,138,1,0,0.477680434,,,,,,,,,
kr_vs_kp,5,2397,0.509386733,0.527325824,600.205332,OCT-Multivariate,FALSE,0,600,15,1,0,0.472674176,,,,,,,,,
kr_vs_kp,5,2397,0.892365457,0.88485607,600.2003629,OCT-Multivariate,FALSE,0,600,89,1,0,0.040884439,,,,,,,,,
kr_vs_kp,5,2397,0.536921151,0.519399249,600.3292902,OCT-Multivariate,FALSE,0,600,42,1,0,0.480600751,,,,,,,,,
kr_vs_kp,5,2397,0.509386733,0.539007092,600.289865,OCT-Multivariate,FALSE,0,600,0,1,0,0.468919483,,,,,,,,,
iris,2,112,0.973684211,0.991071429,0.236572027,OCT-Multivariate,FALSE,0,600,138,0,0,0,,,,,,,,,
iris,2,112,0.947368421,1,0.534990072,OCT-Multivariate,FALSE,0,600,15,0,0,0,,,,,,,,,
iris,2,112,0.973684211,0.946428571,0.498719931,OCT-Multivariate,FALSE,0,600,89,1,0,0.008928571,,,,,,,,,
iris,2,112,0.973684211,1,1.323843002,SOCT-Benders,None,0,600,138,0,112,112,151,182,1.145493746,0.006761633,,,,,
iris,2,112,1,0.991071429,3.964957952,OCT-Multivariate,FALSE,0,600,42,0,0.008928571,0.008928571,,,,,,,,,
iris,2,112,0.868421053,0.973214286,1.405780077,OCT-Multivariate,FALSE,0,600,0,0,0,0,,,,,,,,,
iris,2,112,0.921052632,1,4.856549025,SOCT-Benders,None,0,600,15,0,112,112,509,584,4.025786638,0.007003093,,,,,
iris,3,112,0.868421053,0.973214286,3.31613493,OCT-Multivariate,FALSE,0,600,138,0,0,0,,,,,,,,,
iris,2,112,0.973684211,1,3.41863203,SOCT-Benders,None,0,600,89,0,112,112,359,542,2.793329954,0.006711517,,,,,
iris,3,112,0.921052632,0.964285714,3.181548834,OCT-Multivariate,FALSE,0,600,15,0,0,0,,,,,,,,,
iris,3,112,0.973684211,0.982142857,5.786665916,OCT-Multivariate,FALSE,0,600,89,0,0,0,,,,,,,,,
iris,3,112,1,0.982142857,7.844847918,OCT-Multivariate,FALSE,0,600,42,0,0,0,,,,,,,,,
iris,3,112,0.815789474,0.964285714,2.287420988,OCT-Multivariate,FALSE,0,600,0,0,0,0,,,,,,,,,
iris,4,112,0.868421053,0.982142857,3.502528906,OCT-Multivariate,FALSE,0,600,138,0,0,0,,,,,,,,,
iris,4,112,0.894736842,0.973214286,17.72916484,OCT-Multivariate,FALSE,0,600,15,0,0,0,,,,,,,,,
iris,4,112,0.894736842,0.964285714,37.08715081,OCT-Multivariate,FALSE,0,600,89,0,0,0,,,,,,,,,
iris,4,112,0.947368421,0.982142857,96.58869004,OCT-Multivariate,FALSE,0,600,42,0,0,0,,,,,,,,,
iris,4,112,0.894736842,0.973214286,15.55846095,OCT-Multivariate,FALSE,0,600,0,0,0,0,,,,,,,,,
iris,5,112,0.947368421,0.991071429,21.04977012,OCT-Multivariate,FALSE,0,600,138,0,0,0,,,,,,,,,
iris,5,112,0.894736842,0.982142857,7.710777998,OCT-Multivariate,FALSE,0,600,15,0,0,0,,,,,,,,,
iris,5,112,0.842105263,0.955357143,4.012886047,OCT-Multivariate,FALSE,0,600,89,0,0,0,,,,,,,,,
iris,2,112,1,0.991071429,260.2476361,SOCT-Benders,None,0,600,42,2.90E-09,111.0000003,111,2237,3039,18.16806602,0.00780132,,,,,
iris,5,112,0.973684211,1,40.6853199,OCT-Multivariate,FALSE,0,600,42,0,0,0,,,,,,,,,
iris,2,112,0.894736842,1,5.419798851,SOCT-Benders,None,0,600,0,0,112,112,528,621,4.426573515,0.007243253,,,,,
iris,3,112,0.973684211,1,11.98133993,SOCT-Benders,None,0,600,138,0,112,112,810,1350,10.33723116,0.006163584,,,,,
iris,5,112,0.894736842,0.991071429,28.76984501,OCT-Multivariate,FALSE,0,600,0,0,0,0,,,,,,,,,
climate,2,405,0.896296296,0.987654321,2.343181133,OCT-Multivariate,FALSE,0,600,138,0,0,0,,,,,,,,,
iris,3,112,0.921052632,1,28.60328102,SOCT-Benders,None,0,600,15,0,112,112,1449,3762,20.45145226,0.007423555,,,,,
iris,3,112,0.973684211,1,36.52065706,SOCT-Benders,None,0,600,89,0,112,112,1552,3677,22.05634236,0.007039664,,,,,
climate,2,405,0.911111111,0.977777778,48.46645093,OCT-Multivariate,FALSE,0,600,15,0,0,0,,,,,,,,,
climate,2,405,0.918518519,0.972839506,6.29689002,OCT-Multivariate,FALSE,0,600,89,0,0,0,,,,,,,,,
climate,2,405,0.903703704,0.960493827,9.694859028,OCT-Multivariate,FALSE,0,600,42,0,0,0,,,,,,,,,
climate,2,405,0.933333333,0.975308642,5.429832935,OCT-Multivariate,FALSE,0,600,0,0,0,0,,,,,,,,,
climate,3,405,0.911111111,0.967901235,48.24655795,OCT-Multivariate,FALSE,0,600,138,0,0,0,,,,,,,,,
climate,3,405,0.918518519,0.967901235,18.68086791,OCT-Multivariate,FALSE,0,600,15,0,0,0,,,,,,,,,
climate,3,405,0.881481481,0.955555556,6.087450027,OCT-Multivariate,FALSE,0,600,89,0,0,0,,,,,,,,,
climate,3,405,0.948148148,0.958024691,57.98645401,OCT-Multivariate,FALSE,0,600,42,0,0,0,,,,,,,,,
