Data,H,|I|,Out_Acc,In_Acc,Sol_Time,MIP_Gap,Obj_Val,Obj_Bound,Model,HP_Time,HP_Obj,HP_Rank,FP_CB_Time,FP_Num_CB,FP_Cuts,FP_Cuts_per_CB,VIS_CB_Time,VIS_Num_CB,VIS_Cuts,Eps,Time_Limit,Rand_State,Warm_Start,Regularization,Max_Features
soybean-small,3,35,0.9166666666666666,1.0,0.396381139755249,0.0,35.0,35.0,CUT1,0.4640088491141796,linear,0.25,0,0,0,0,0.38310843519866467,2,0,0,600,42,False,None,None
climate,2,405,0.8888888888888888,0.9234567901234568,9.47133207321167,0.0,405.0,405.0,CUT1,9.464885288849473,linear,|F|-1,0,0,0,0,9.414201825857162,2,1,0,600,89,False,None,None
hayes-roth,4,99,0.30303030303030304,0.5454545454545454,4.407901048660278,0.0,99.0,99.0,CUT1,4.233059516176581,linear,|F|-1,0,0,0,0,4.136525696143508,2,1,0,600,89,False,None,None
soybean-small,3,35,0.75,0.8,0.4666779041290283,0.0,35.0,35.0,CUT1,0.5778911206871271,linear,0.25,0,0,0,0,0.4409802909940481,2,0,0,600,0,False,None,None
soybean-small,4,35,1.0,0.9714285714285714,0.45545387268066406,0.0,35.0,35.0,CUT1,0.5180688202381134,linear,0.25,0,0,0,0,0.42070694267749786,2,0,0,600,138,False,None,None
soybean-small,4,35,0.25,0.6285714285714286,0.5357837677001953,0.0,35.0,35.0,CUT1,0.6327730622142553,linear,0.25,0,0,0,0,0.49747476167976856,2,0,0,600,15,False,None,None
soybean-small,4,35,1.0,0.9714285714285714,0.46846699714660645,0.0,35.0,35.0,CUT1,0.5274977628141642,linear,0.25,0,0,0,0,0.4268643446266651,2,0,0,600,89,False,None,None
soybean-small,4,35,0.25,0.4,0.4835779666900635,0.0,35.0,35.0,CUT1,0.5616960600018501,linear,0.25,0,0,0,0,0.45055556669831276,2,0,0,600,42,False,None,None
soybean-small,4,35,1.0,1.0,0.4899470806121826,0.0,35.0,35.0,CUT1,0.564621714875102,linear,0.25,0,0,0,0,0.45284173637628555,2,0,0,600,0,False,None,None
breast-cancer,3,214,0.6527777777777778,0.7429906542056075,7.514027118682861,0.0,214.0,214.0,CUT1,7.954426117241383,linear,|F|-1,0,0,0,0,7.429303668439388,2,1,0,600,138,False,None,None
hayes-roth,4,99,0.5454545454545454,0.6767676767676768,3.360548973083496,0.0,99.0,99.0,CUT1,3.326963137835264,linear,|F|-1,0,0,0,0,3.259329032152891,2,2,0,600,42,False,None,None
soybean-small,5,35,0.4166666666666667,0.8285714285714286,0.6630740165710449,0.0,35.0,35.0,CUT1,0.7449793759733438,linear,0.25,0,0,0,0,0.5972964838147163,2,0,0,600,138,False,None,None
soybean-small,5,35,0.9166666666666666,0.9142857142857143,0.6033768653869629,0.0,35.0,35.0,CUT1,0.6814722325652838,linear,0.25,0,0,0,0,0.5349028389900923,2,0,0,600,15,False,None,None
soybean-small,5,35,0.6666666666666666,0.8,0.5807859897613525,0.0,35.0,35.0,CUT1,0.6577596832066774,linear,0.25,0,0,0,0,0.5080236662179232,2,0,0,600,89,False,None,None
house-votes-84,2,326,0.963302752293578,0.9386503067484663,19.68208599090576,0.0,326.0,326.0,CUT1,20.841845281422138,linear,|F|-1,0,0,0,0,19.63449376448989,2,0,0,600,15,False,None,None
soybean-small,5,35,0.9166666666666666,1.0,0.5737969875335693,0.0,35.0,35.0,CUT1,0.6495401635766029,linear,0.25,0,0,0,0,0.5069836750626564,2,0,0,600,42,False,None,None
soybean-small,5,35,1.0,0.7714285714285715,0.5726938247680664,0.0,35.0,35.0,CUT1,0.6496151834726334,linear,0.25,0,0,0,0,0.5028781071305275,2,0,0,600,0,False,None,None
soybean-small,2,35,0.9166666666666666,0.9142857142857143,0.38818788528442383,0.0,35.0,35.0,CUT1,0.45834277383983135,linear,0.1,0,0,0,0,0.38044300116598606,2,0,0,600,138,False,None,None
soybean-small,2,35,0.8333333333333334,0.7714285714285715,0.40532994270324707,0.0,35.0,35.0,CUT1,0.502213591709733,linear,0.1,0,0,0,0,0.39819722808897495,2,0,0,600,15,False,None,None
hayes-roth,4,99,0.3333333333333333,0.30303030303030304,4.427186965942383,0.0,99.0,99.0,CUT1,4.057864151895046,linear,|F|-1,0,0,0,0,3.998730905354023,2,2,0,600,0,False,None,None
soybean-small,2,35,1.0,1.0,0.39702510833740234,0.0,35.0,35.0,CUT1,0.47069647908210754,linear,0.1,0,0,0,0,0.3903654273599386,2,0,0,600,89,False,None,None
climate,2,405,0.8666666666666667,0.9308641975308642,8.727895975112915,0.0,405.0,405.0,CUT1,8.638019800186157,linear,|F|-1,0,0,0,0,8.66385024227202,2,1,0,600,42,False,None,None
soybean-small,2,35,0.9166666666666666,0.9142857142857143,0.39258599281311035,0.0,35.0,35.0,CUT1,0.4652728717774153,linear,0.1,0,0,0,0,0.3849112130701542,2,0,0,600,42,False,None,None
soybean-small,2,35,0.6666666666666666,0.9428571428571428,0.4021110534667969,0.0,35.0,35.0,CUT1,0.47671799547970295,linear,0.1,0,0,0,0,0.3951335810124874,2,0,0,600,0,False,None,None
